Americamysis bahia_acute,Americamysis bahia_chronic,Artemia salina_acute,Brachionus plicatilis_acute,Chaetogammarus marinus_acute,Crangon septemspinosa_acute,Crassostrea virginica_acute,Cyprinodon variegatus_acute,Cyprinodon variegatus_chronic,Danio rerio_chronic,Farfantepenaeus duorarum_acute,Fundulus heteroclitus_acute,Fundulus heteroclitus_chronic,Gadus morhua_chronic,Gasterosteus aculeatus_acute,Lepeophtheirus salmonis_acute,Lepomis macrochirus_acute,Litopenaeus vannamei_acute,Menidia beryllina_acute,Menidia menidia_acute,Mytilus galloprovincialis_chronic,Nitocra spinipes_acute,Oncorhynchus mykiss_chronic,Oncorhynchus mykiss_acute,Oryzias melastigma_chronic,Palaemonetes pugio_acute,Palaemonetes pugio_chronic,Palaemonetes sp._acute,Pimephales promelas_acute,Pimephales promelas_chronic,Raphidocelis subcapitata_acute,Rivulus marmoratus_chronic,Scolelepis fulginosa_acute,Skeletonema costatum_acute,Skeletonema costatum_chronic,Dunaliella tertiolecta_acute,Isochrysis galbana_acute,Phaeodactylum tricornutum_acute,smiles,duration,group
0.227886705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],2,test
-4.572351629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,4,training
-3.94577009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,1,training
-0.367542708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=P(SC(CC)C)(OCC)N1C(=O)SCC1,4,training
-0.958607315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,4,training
0.041392685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN1N=C(C)C(C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(C)(=O)=O)=C1O,4,training
-1.251811973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,4,training
-0.552841969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)CSc1cc(N=c2sc(=O)n3CCCCn23)c(F)cc1Cl,4,training
-0.455931955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,4,training
-0.026872147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(Cl)(Cl)C(Cl)(Cl)Cl,4,training
0.951337519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(Cl)C(Cl)(Cl)Cl,1,training
1.784617293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(Cl)(Cl)Cl,1,training
1.008600172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=C(Cl)Cl)Cl,4,training
1.100370545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=C(Cl)Cl)Cl,2,training
1.100370545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=C(Cl)Cl)Cl,1,training
0.45484486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=C(Cl)Cl)Cl,4,training
-1.229147988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,4,training
1.431363764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC=C(Cl)Cl,4,training
-2.853871964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C(Cl)(C1(Cl)C35Cl)C24Cl,19,training
2.902002891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC(=C)Cl,3,training
-1.494850022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,4,training
-0.142667504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,2,training
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1cc(Cl)c(Cl)c(Cl)c1,2,training
-0.055517328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSC(=O)c1cccc2nnsc12,4,training
0.164352856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1ccc(Cl)c(Cl)c1,1,training
-0.113509275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCOC(=O)c1ccccc1C(=O)OCCCC,3,training
1.303196057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)c1ccccc1C(=O)OCC,2,training
1.571708832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)c1ccccc1C(=O)OCC,1,training
1.26245109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)c1ccccc1C(=O)OCC,3,training
1.874481818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)c1ccccc1C(=O)OC,2,training
-0.236572006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,4,training
0.588831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1ccccc1Cl,3,training
2.041392685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCCCl,2,training
1.394276527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(Cl)CCl,4,training
1.079181246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1N(CN(CN1CCO)CCO)CCO,4,training
-0.102372909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCC=CCl,4,training
0.643452677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCC=CCl,3,training
-0.15490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCC=CCl,4,training
0.608526034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1cccc(Cl)c1,3,training
1.439332694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCCCCl,1,training
0.86332286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCCCCl,4,training
-0.22184875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,4,training
-0.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1cccc2ccccc12,4,training
-1.395665927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNC(=O)Oc1ccccc1OC(C)C,2,training
-1.431798276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)c1ccc(Cl)cc1Cl,4,training
